year,column,observed,total,percent
2015,TEACHSUP_2025,0,6736,0.0
2018,TEACHSUP_2025,0,35943,0.0
2022,TEACHSUP_2025,0,30800,0.0
2025,TEACHSUP_2025,27080,29966,90.37
2000,DISCLISCI,0,6214,0.0
2003,DISCLISCI,0,10791,0.0
2006,DISCLISCI,0,19604,0.0
2009,DISCLISCI,0,25887,0.0
2012,DISCLISCI,0,25313,0.0
2015,DISCLISCI,0,6736,0.0
2018,DISCLISCI,0,35943,0.0
2022,DISCLISCI,0,30800,0.0
2025,DISCLISCI,27271,29966,91.01
2000,JOYSCIE,0,6214,0.0
2003,JOYSCIE,0,10791,0.0
2006,JOYSCIE,0,19604,0.0
2009,JOYSCIE,0,25887,0.0
2012,JOYSCIE,0,25313,0.0
2015,JOYSCIE,0,6736,0.0
2018,JOYSCIE,0,35943,0.0
2022,JOYSCIE,0,30800,0.0
2025,JOYSCIE,27382,29966,91.38
2000,EFFSCIE,0,6214,0.0
2003,EFFSCIE,0,10791,0.0
2006,EFFSCIE,0,19604,0.0
2009,EFFSCIE,0,25887,0.0
2012,EFFSCIE,0,25313,0.0
2015,EFFSCIE,0,6736,0.0
2018,EFFSCIE,0,35943,0.0
2022,EFFSCIE,0,30800,0.0
2025,EFFSCIE,27007,29966,90.13
2000,ANXMAT,0,6214,0.0
2003,ANXMAT,10719,10791,99.33
2006,ANXMAT,0,19604,0.0
2009,ANXMAT,0,25887,0.0
2012,ANXMAT,16632,25313,65.71
2015,ANXMAT,0,6736,0.0
2018,ANXMAT,0,35943,0.0
2022,ANXMAT,27646,30800,89.76
2025,ANXMAT,0,29966,0.0
2000,ST273Q06JA,0,6214,0.0
2003,ST273Q06JA,0,10791,0.0
2006,ST273Q06JA,0,19604,0.0
2009,ST273Q06JA,0,25887,0.0
2012,ST273Q06JA,0,25313,0.0
2015,ST273Q06JA,0,6736,0.0
2018,ST273Q06JA,0,35943,0.0
2022,ST273Q06JA,20559,30800,66.75
2025,ST273Q06JA,0,29966,0.0
2000,ST097Q06DA,0,6214,0.0
2003,ST097Q06DA,0,10791,0.0
2006,ST097Q06DA,0,19604,0.0
2009,ST097Q06DA,0,25887,0.0
2012,ST097Q06DA,0,25313,0.0
2015,ST097Q06DA,0,6736,0.0
2018,ST097Q06DA,0,35943,0.0
2022,ST097Q06DA,0,30800,0.0
2025,ST097Q06DA,27076,29966,90.36
2000,numero_pv_math,6214,6214,100.0
2003,numero_pv_math,10791,10791,100.0
2006,numero_pv_math,19604,19604,100.0
2009,numero_pv_math,25887,25887,100.0
2012,numero_pv_math,25313,25313,100.0
2015,numero_pv_math,6736,6736,100.0
2018,numero_pv_math,35943,35943,100.0
2022,numero_pv_math,30800,30800,100.0
2025,numero_pv_math,29966,29966,100.0
2000,peso_math,3428,6214,55.17
2003,peso_math,10791,10791,100.0
2006,peso_math,19604,19604,100.0
2009,peso_math,25887,25887,100.0
2012,peso_math,25313,25313,100.0
2015,peso_math,6736,6736,100.0
2018,peso_math,35943,35943,100.0
2022,peso_math,30800,30800,100.0
2025,peso_math,29966,29966,100.0
2000,numero_pv_read,6214,6214,100.0
2003,numero_pv_read,10791,10791,100.0
2006,numero_pv_read,19604,19604,100.0
2009,numero_pv_read,25887,25887,100.0
2012,numero_pv_read,25313,25313,100.0
2015,numero_pv_read,6736,6736,100.0
2018,numero_pv_read,35943,35943,100.0
2022,numero_pv_read,30800,30800,100.0
2025,numero_pv_read,29966,29966,100.0
2000,peso_read,6214,6214,100.0
2003,peso_read,10791,10791,100.0
2006,peso_read,19604,19604,100.0
2009,peso_read,25887,25887,100.0
2012,peso_read,25313,25313,100.0
2015,peso_read,6736,6736,100.0
2018,peso_read,35943,35943,100.0
2022,peso_read,30800,30800,100.0
2025,peso_read,29966,29966,100.0
2000,numero_pv_scie,6214,6214,100.0
2003,numero_pv_scie,10791,10791,100.0
2006,numero_pv_scie,19604,19604,100.0
2009,numero_pv_scie,25887,25887,100.0
2012,numero_pv_scie,25313,25313,100.0
2015,numero_pv_scie,6736,6736,100.0
2018,numero_pv_scie,35943,35943,100.0
2022,numero_pv_scie,30800,30800,100.0
2025,numero_pv_scie,29966,29966,100.0
2000,peso_scie,3457,6214,55.63
2003,peso_scie,10791,10791,100.0
2006,peso_scie,19604,19604,100.0
2009,peso_scie,25887,25887,100.0
2012,peso_scie,25313,25313,100.0
2015,peso_scie,6736,6736,100.0
2018,peso_scie,35943,35943,100.0
