year,column,observed,total,percent
2012,CURIOAGR,0,25313,0.0
2015,CURIOAGR,0,6736,0.0
2018,CURIOAGR,0,35943,0.0
2022,CURIOAGR,28994,30800,94.1
2025,CURIOAGR,0,29966,0.0
2000,CURSUPP,0,6214,0.0
2003,CURSUPP,0,10791,0.0
2006,CURSUPP,0,19604,0.0
2009,CURSUPP,0,25887,0.0
2012,CURSUPP,0,25313,0.0
2015,CURSUPP,4699,6736,69.8
2018,CURSUPP,0,35943,0.0
2022,CURSUPP,0,30800,0.0
2025,CURSUPP,0,29966,0.0
2000,DEFFORT,0,6214,0.0
2003,DEFFORT,0,10791,0.0
2006,DEFFORT,19013,19604,97.0
2009,DEFFORT,0,25887,0.0
2012,DEFFORT,23609,25313,93.3
2015,DEFFORT,0,6736,0.0
2018,DEFFORT,0,35943,0.0
2022,DEFFORT,0,30800,0.0
2025,DEFFORT,0,29966,0.0
2000,DIGINTLRN,0,6214,0.0
2003,DIGINTLRN,0,10791,0.0
2006,DIGINTLRN,0,19604,0.0
2009,DIGINTLRN,0,25887,0.0
2012,DIGINTLRN,0,25313,0.0
2015,DIGINTLRN,0,6736,0.0
2018,DIGINTLRN,0,35943,0.0
2022,DIGINTLRN,0,30800,0.0
2025,DIGINTLRN,22563,29966,75.3
2000,DIRINS,0,6214,0.0
2003,DIRINS,0,10791,0.0
2006,DIRINS,0,19604,0.0
2009,DIRINS,0,25887,0.0
2012,DIRINS,0,25313,0.0
2015,DIRINS,0,6736,0.0
2018,DIRINS,35197,35943,97.9
2022,DIRINS,0,30800,0.0
2025,DIRINS,0,29966,0.0
2000,DISCLIM,0,6214,0.0
2003,DISCLIM,10620,10791,98.4
2006,DISCLIM,0,19604,0.0
2009,DISCLIM,0,25887,0.0
2012,DISCLIM,0,25313,0.0
2015,DISCLIM,0,6736,0.0
2018,DISCLIM,0,35943,0.0
2022,DISCLIM,28956,30800,94.0
2025,DISCLIM,0,29966,0.0
2000,DISCLIMA,6130,6214,98.6
2003,DISCLIMA,0,10791,0.0
2006,DISCLIMA,0,19604,0.0
2009,DISCLIMA,25564,25887,98.8
2012,DISCLIMA,16651,25313,65.8
2015,DISCLIMA,0,6736,0.0
2018,DISCLIMA,35317,35943,98.3
2022,DISCLIMA,0,30800,0.0
2025,DISCLIMA,0,29966,0.0
2000,DISCLISCI,0,6214,0.0
2003,DISCLISCI,0,10791,0.0
2006,DISCLISCI,0,19604,0.0
2009,DISCLISCI,0,25887,0.0
2012,DISCLISCI,0,25313,0.0
2015,DISCLISCI,0,6736,0.0
2018,DISCLISCI,0,35943,0.0
2022,DISCLISCI,0,30800,0.0
2025,DISCLISCI,27271,29966,91.0
2000,DISCRIM,0,6214,0.0
2003,DISCRIM,0,10791,0.0
2006,DISCRIM,0,19604,0.0
2009,DISCRIM,0,25887,0.0
2012,DISCRIM,0,25313,0.0
2015,DISCRIM,0,6736,0.0
2018,DISCRIM,28142,35943,78.3
2022,DISCRIM,0,30800,0.0
2025,DISCRIM,0,29966,0.0
2000,DIVREAD,6026,6214,97.0
2003,DIVREAD,0,10791,0.0
2006,DIVREAD,0,19604,0.0
2009,DIVREAD,25662,25887,99.1
2012,DIVREAD,0,25313,0.0
2015,DIVREAD,0,6736,0.0
2018,DIVREAD,0,35943,0.0
2022,DIVREAD,0,30800,0.0
2025,DIVREAD,0,29966,0.0
2000,DURECEC,0,6214,0.0
2003,DURECEC,0,10791,0.0
